D_Predict,DTA,Nightly_Price
17,168,"1,016"
18,168,634
19,168,634
20,168,634
21,168,895
22,168,895
23,168,745
24,168,0
25,168,0
26,168,0
27,168,634
28,168,719
29,168,761
30,168,634
1,171,845
2,171,645
3,171,795
4,171,645
5,171,645
6,171,645
7,171,845
8,171,945
9,171,595
10,171,549
11,171,591
12,171,719
13,171,549
14,171,795
15,171,"1,145"
16,171,"1,195"
17,171,"1,016"
18,171,634
19,171,634
20,171,634
21,171,895
22,171,895
23,171,745
24,171,0
25,171,0
26,171,0
27,171,634
28,171,719
29,171,761
30,171,634
1,174,845
2,174,645
3,174,795
4,174,645
5,174,645
6,174,645
7,174,845
8,174,945
9,174,595
10,174,549
11,174,591
12,174,719
13,174,549
14,174,795
15,174,"1,145"
16,174,"1,195"
17,174,"1,016"
18,174,634
19,174,634
20,174,634
21,174,895
22,174,895
23,174,745
24,174,0
25,174,0
26,174,0
27,174,634
28,174,719
29,174,761
30,174,634
1,177,845
2,177,645
3,177,795
4,177,645
5,177,645
6,177,645
7,177,845
8,177,945
9,177,595
10,177,549
11,177,591
12,177,719
13,177,549
14,177,795
15,177,"1,145"
16,177,"1,195"
17,177,"1,016"
18,177,634
19,177,634
20,177,634
21,177,895
22,177,895
23,177,745
24,177,0
25,177,0
26,177,0
27,177,634
28,177,719
29,177,761
30,177,634
1,180,845
2,180,645
3,180,795
4,180,645
5,180,645
6,180,645
7,180,845
8,180,945
9,180,595
10,180,549
11,180,591
12,180,719
13,180,549
14,180,795
15,180,"1,145"
16,180,"1,195"
17,180,"1,016"
18,180,634
19,180,634
20,180,634
21,180,895
22,180,895
23,180,745
24,180,0
25,180,0
26,180,0
27,180,634
28,180,719
29,180,761
30,180,634
1,30,845
2,30,645
3,30,795
4,30,645
5,30,645
6,30,645
7,30,845
8,30,845
9,30,595
10,30,695
11,30,591
12,30,591
13,30,549
14,30,795
15,30,"1,145"
16,30,"1,195"
17,30,"1,016"
18,30,634
19,30,634
20,30,634
21,30,895
22,30,895
23,30,745
24,30,0
25,30,0
26,30,0
27,30,634
28,30,719
29,30,761
30,30,634
1,33,845
2,33,645
3,33,795
4,33,645
5,33,645
6,33,645
7,33,845
8,33,945
9,33,595
10,33,695
11,33,695
12,33,695
13,33,645
14,33,795
15,33,"1,145"
16,33,"1,195"
17,33,"1,195"
18,33,745
19,33,745
20,33,745
21,33,795
22,33,895
23,33,745
24,33,0
25,33,0
26,33,0
27,33,745
28,33,845
29,33,895
30,33,745
1,36,845
2,36,645
3,36,795
4,36,645
5,36,645
6,36,645
7,36,845
8,36,945
9,36,595
10,36,695
11,36,695
12,36,695
13,36,645
14,36,795
15,36,"1,145"
16,36,"1,195"
17,36,"1,195"
18,36,745
19,36,745
20,36,745
21,36,795
22,36,895
23,36,745
24,36,0
25,36,0
26,36,0
27,36,745
28,36,845
29,36,895
30,36,745
1,39,845
2,39,645
3,39,795
4,39,645
5,39,645
6,39,645
7,39,845
8,39,845
9,39,595
10,39,695
11,39,591
12,39,591
13,39,549
14,39,795
15,39,"1,145"
16,39,"1,195"
17,39,"1,016"
18,39,634
19,39,634
20,39,634
21,39,895
22,39,895
23,39,745
24,39,0
25,39,0
26,39,0
27,39,634
28,39,719
29,39,761
30,39,634
1,42,845
2,42,645
3,42,795
4,42,645
5,42,645
6,42,645
7,42,845
8,42,845
9,42,595
10,42,695
11,42,591
12,42,591
13,42,549
14,42,795
15,42,"1,145"
16,42,"1,195"
17,42,"1,016"
18,42,634
19,42,634
20,42,634
21,42,895
22,42,895
23,42,745
24,42,0
25,42,0
26,42,0
27,42,634
28,42,719
29,42,761
30,42,634
1,45,845
2,45,645
3,45,795
4,45,645
5,45,645
6,45,645
7,45,845
8,45,845
9,45,595
10,45,695
11,45,591
12,45,591
13,45,549
14,45,795
15,45,"1,145"
16,45,"1,195"
17,45,"1,016"
18,45,634
19,45,634
20,45,634
21,45,895
22,45,895
23,45,745
24,45,0
25,45,0
26,45,0
27,45,634
28,45,719
29,45,761
30,45,634
1,48,949
2,48,645
3,48,795
4,48,645
5,48,645
6,48,645
7,48,902
8,48,902
9,48,595
10,48,680
11,48,591
12,48,591
13,48,549
14,48,802
15,48,"1,145"
16,48,"1,195"
17,48,"1,016"
18,48,634
19,48,634
20,48,634
21,48,895
22,48,895
23,48,902
24,48,0
25,48,0
26,48,0
27,48,634
28,48,902
29,48,761
30,48,634
1,51,949
2,51,645
3,51,795
4,51,745
5,51,645
6,51,645
7,51,902
8,51,902
9,51,595
10,51,680
11,51,591
12,51,591
13,51,549
14,51,845
15,51,"1,145"
16,51,"1,195"
17,51,"1,016"
18,51,634
19,51,634
20,51,634
21,51,895
22,51,895
23,51,902
24,51,0
25,51,0
26,51,0
27,51,634
28,51,902
29,51,761
30,51,634
1,54,949
2,54,788
3,54,795
4,54,745
5,54,645
6,54,645
7,54,845
8,54,845
9,54,595
10,54,680
11,54,591
12,54,591
13,54,549
14,54,845
15,54,"1,256"
16,54,"1,195"
17,54,"1,016"
18,54,634
19,54,634
20,54,634
21,54,895
22,54,895
23,54,902
24,54,0
25,54,0
26,54,0
27,54,634
28,54,902
29,54,761
30,54,634
1,57,949
2,57,788
3,57,795
4,57,745
5,57,645
6,57,645
7,57,845
8,57,845
9,57,595
10,57,680
11,57,591
12,57,680
13,57,625
14,57,902
15,57,"1,256"
16,57,"1,195"
17,57,"1,016"
18,57,634
19,57,634
20,57,634
21,57,895
22,57,895
23,57,902
24,57,0
25,57,0
26,57,0
27,57,634
28,57,902
29,57,761
30,57,634
1,60,949
2,60,645
3,60,824
4,60,845
5,60,645
6,60,645
7,60,845
8,60,845
9,60,595
10,60,680
11,60,591
12,60,680
13,60,625
14,60,902
15,60,"1,595"
16,60,"1,195"
17,60,"1,016"
18,60,634
19,60,634
20,60,634
21,60,895
22,60,895
23,60,902
24,60,0
25,60,0
26,60,0
27,60,634
28,60,902
29,60,845
30,60,634
1,63,949
2,63,645
3,63,824
4,63,845
5,63,645
6,63,645
7,63,845
8,63,845
9,63,595
10,63,680
11,63,591
12,63,680
13,63,625
14,63,902
15,63,"1,595"
16,63,"1,195"
17,63,"1,016"
18,63,634
19,63,634
20,63,634
21,63,895
22,63,895
23,63,902
24,63,0
25,63,0
26,63,0
27,63,902
28,63,845
29,63,845
30,63,634
1,66,949
2,66,645
3,66,824
4,66,845
5,66,645
6,66,645
7,66,845
8,66,845
9,66,595
10,66,680
11,66,591
12,66,680
13,66,680
14,66,902
15,66,"1,595"
16,66,"1,195"
17,66,"1,016"
18,66,634
19,66,634
20,66,634
21,66,895
22,66,895
23,66,902
24,66,0
25,66,0
26,66,0
27,66,"1,125"
28,66,845
29,66,845
30,66,634
1,69,949
2,69,645
3,69,824
4,69,845
5,69,680
6,69,680
7,69,845
8,69,845
9,69,595
10,69,680
11,69,591
12,69,680
13,69,680
14,69,902
15,69,"1,595"
16,69,"1,195"
17,69,"1,016"
18,69,680
19,69,680
20,69,680
21,69,895
22,69,895
23,69,902
24,69,0
25,69,0
26,69,0
27,69,"1,125"
28,69,845
29,69,845
30,69,634
1,72,745
2,72,645
3,72,824
4,72,845
5,72,680
6,72,680
7,72,845
8,72,845
9,72,595
10,72,680
11,72,591
12,72,680
13,72,745
14,72,902
15,72,"1,595"
