Day,Date,Channel,Rosewood Sand Hill,Garden Court Hotel,Nobu Hotel Epiphany Palo Alto,Stanford Park Hotel,Westin Palo Alto,Pullman San Francisco Bay
Tue,6/4/2019,Brand.com,855,No data,749,584,No data,457
Tue,6/4/2019,Booking.com,Sold out,789,999,609,583,462
Wed,6/5/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,6/5/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,6/6/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,6/6/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,6/7/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,6/7/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,6/8/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,6/8/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,6/9/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,6/9/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,6/10/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,6/10/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,6/11/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,6/11/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,6/12/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,6/12/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,6/13/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,6/13/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,6/14/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,6/14/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,6/15/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,6/15/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,6/16/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,6/16/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,6/17/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,6/17/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,6/18/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,6/18/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,6/19/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,6/19/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,6/20/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,6/20/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,6/21/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,6/21/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,6/22/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,6/22/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,6/23/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,6/23/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,6/24/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,6/24/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,6/25/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,6/25/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,6/26/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,6/26/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,6/27/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,6/27/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,6/28/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,6/28/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,6/29/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,6/29/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,6/30/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,6/30/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,7/1/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,7/1/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,7/2/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,7/2/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,7/3/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,7/3/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,7/4/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,7/4/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,7/5/2019,Brand.com,No data,No data,No data,No data,No data,No data
