Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los1;﻿Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los3
Thu;3/14/2019;GDS;565;629;649;479;489;189;1;Thu;3/14/2019;Brand.com;377;"No data";306;261;"No data";143;3
Thu;3/14/2019;GDS;565;629;649;479;489;189;1;Thu;3/14/2019;Booking.com;498;416;479;286;266;143;3
Fri;3/15/2019;Brand.com;465;309;249;174;"No data";132;1;Fri;3/15/2019;Brand.com;397;"No data";266;224;"No data";152;3
Fri;3/15/2019;Brand.com;465;309;249;174;"No data";132;1;Fri;3/15/2019;Booking.com;488;382;479;249;230;152;3
Fri;3/15/2019;Booking.com;465;309;379;199;185;125;1;Fri;3/15/2019;Brand.com;397;"No data";266;224;"No data";152;3
Fri;3/15/2019;Booking.com;465;309;379;199;185;125;1;Fri;3/15/2019;Booking.com;488;382;479;249;230;152;3
Fri;3/15/2019;Expedia;465;263;379;199;185;125;1;Fri;3/15/2019;Brand.com;397;"No data";266;224;"No data";152;3
Fri;3/15/2019;Expedia;465;263;379;199;185;125;1;Fri;3/15/2019;Booking.com;488;382;479;249;230;152;3
Fri;3/15/2019;GDS;465;309;249;199;185;132;1;Fri;3/15/2019;Brand.com;397;"No data";266;224;"No data";152;3
Fri;3/15/2019;GDS;465;309;249;199;185;132;1;Fri;3/15/2019;Booking.com;488;382;479;249;230;152;3
Sat;3/16/2019;Brand.com;465;309;249;154;"No data";132;1;Sat;3/16/2019;Brand.com;625;"No data";532;351;"No data";243;3
Sat;3/16/2019;Brand.com;465;309;249;154;"No data";132;1;Sat;3/16/2019;Booking.com;592;542;736;376;374;230;3
Sat;3/16/2019;Booking.com;465;309;359;179;157;125;1;Sat;3/16/2019;Brand.com;625;"No data";532;351;"No data";243;3
